name|time_stamps|label_time_stamps(window=5)
Daniel J. Rosenkrantz |09 19 24 34 39 |0_09 0_19 0_24 0_34 0_39 
Takuya Iwamura |44 |0_44 
Valerio Vianello |44 |0_44 
Petroula Tsampouka |34 39 |0_34 0_39 
J. Scott McCarley |29 34 39 |0_29 0_34 0_39 
Claudia Peacuterez-D'Arpino |44 |0_44 
Faris Alqadah |39 44 |0_39 0_44 
Eugene Ball |09 |0_09 
Noah Wardrip-Fruin |44 |0_44 
Bingquan Liu |44 |0_44 
Joe Henke |44 |0_44 
Suhas Kajbaje |39 |0_39 
Andrei Khropov |44 |0_44 
Necip Fazil Ayan |29 |1_29 
Junming Shao |39 44 |0_39 0_44 
Yusheng Xie |44 |1_44 
Zhiqiang Bi |29 |0_29 
Andrew B. Whinston |04 09 |0_04 0_09 
Sean C. Rhea |34 |0_34 
Philippe Laborie |24 34 39 |0_24 0_34 0_39 
Jacopo Staiano |44 |0_44 
Yukino Baba |44 |1_44 
Alexandre Blanscheacute |39 |0_39 
Terry Noreault |09 14 29 |0_09 0_14 0_29 
Rudd Stevens |34 |0_34 
Julia M. Taylor |39 |0_39 
Quixiang Li |39 |0_39 
Cathy H. Wu |29 |0_29 
Gary A. Kildall |04 |0_04 
Ivan Paloscia |39 |0_39 
Thomas Ellman |24 |0_24 
Jihyun Lee |39 |0_39 
Mizuho Iwaihara |19 24 39 |0_19 0_24 0_39 
Willem Jan van Hoeve |39 |0_39 
Jiang Xinsong |14 |0_14 
Andreacute Schiper |34 |0_34 
Sujay Sanghavi |39 44 |0_39 0_44 
Machar Reid |44 |0_44 
Hod Lipson |44 |0_44 
Guangyuan Wu |34 |0_34 
Jean-Seacutebastien Brunner |39 |1_39 
Peiwu Zhang |39 44 |0_39 0_44 
Xueqi Cheng |34 39 44 |0_34 1_39 1_44 
Don Y. Kuramura |24 |0_24 
Hsiu-Chuan Huang |39 |0_39 
Hyung Lee-Kwang |34 |0_34 
Boumlrkur Sigurbjoumlrnsson |34 39 |0_34 0_39 
John Turek |19 24 |0_19 0_24 
Xiaokui Xiao |34 39 44 |1_34 0_39 1_44 
Robson Leonardo Ferreira Cordeiro |39 |1_39 
Ralph M. Weischedel |04 14 19 29 34 |0_04 0_14 0_19 0_29 0_34 
Vanessa Murdock |34 39 44 |0_34 0_39 0_44 
Yanzhen Fan |39 |0_39 
Lei Hou |44 |0_44 
Shih-Chien Kuo |34 |0_34 
Ying-Ju Chen |39 |0_39 
John-Mark Agosta |44 |0_44 
Qiang-Li Zhao |34 |0_34 
Matthew Gerrior |44 |0_44 
Armin Biere |44 |0_44 
Darwin T. Kuan |14 |0_14 
Hui Xiong |34 39 44 |0_34 1_39 1_44 
Yakov Nekrich |44 |0_44 
Nick Lanham |34 |0_34 
Jason J. Soo |39 |0_39 
Hanli Wang |34 |0_34 
Lin Chen |44 |0_44 
Jean-David Ruvini |44 |0_44 
Soroush Vosoughi |44 |0_44 
Taha Khedro |24 |0_24 
Mohamed E. Khalefa |39 |0_39 
Sterling C. Johnson |44 |0_44 
John Darlington |04 29 |0_04 0_29 
Lachlan McCalman |44 |0_44 
Byeong Man Kim |34 |0_34 
Mariacutea Arancha Simoacuten Hurtado |44 |0_44 
John A. Maurer |29 |0_29 
Adam J. Oliner |34 39 44 |0_34 0_39 0_44 
Felix Duvallet |44 |0_44 
Stefania Costache |39 |0_39 
Xiaofeng Gao |39 |0_39 
Wolfgang Ketter |34 44 |0_34 0_44 
Miguel Correia |44 |0_44 
Martin Jansche |39 |1_39 
Zhen Hu |39 |0_39 
Yi Chen |34 39 44 |0_34 1_39 0_44 
Rahul Savani |44 |0_44 
Ingo Gloumlckner |39 |0_39 
Paul Ogilvie |34 39 44 |0_34 0_39 0_44 
Anat Eyal |29 34 39 |0_29 0_34 0_39 
T. J. Lucia |19 |0_19 
Shangpu Jiang |44 |1_44 
Olivier Leacuteonard |34 |0_34 
Thomas Krennwallner |39 44 |0_39 0_44 
Liyiming Ke |44 |0_44 
Wen-Yang Lin |34 |0_34 
Quan Lu |44 |1_44 
Xiaoqing Frank Liu |24 |0_24 
Gerhard Weiss |39 44 |0_39 0_44 
Yunhai Tong |44 |0_44 
George Stiny |04 |0_04 
Ira B. Wilson |44 |0_44 
Robert Fiedler |34 |0_34 
Qi Ju |44 |0_44 
Hermann Tropf |14 |0_14 
T. K. Satish Kumar |44 |0_44 
Zhenhui Li |39 44 |1_39 1_44 
Quang-Cuong Pham |44 |0_44 
Michail Theofanis-Aristofanis |34 |0_34 
Ravi Jampani |39 |0_39 
Elena Baralis |24 29 34 |0_24 0_29 1_34 
Eduardo Mena |39 44 |1_39 0_44 
Bram Cohen |24 |0_24 
Ron M. Stewart |44 |1_44 
Panagiotis Kanellopoulos |44 |0_44 
Thomas Weigold |44 |0_44 
Yixin Chen |34 39 44 |1_34 1_39 1_44 
Olivier Gruber |24 |0_24 
Elizabeth Chang |34 |0_34 
Xingguo Chen |44 |0_44 
Shu-Rong Wu |44 |0_44 
Bob Weide |24 |0_24 
Jizhong Han |44 |0_44 
Benjamin Zarrieszlig |44 |0_44 
Tovi Grossman |44 |0_44 
Alice H. Oh |39 44 |0_39 1_44 
George Luger |44 |0_44 
Alexis Boukouvalas |44 |0_44 
Tijl De Bie |34 39 44 |0_34 1_39 0_44 
Gregg Rabideau |34 44 |0_34 0_44 
Pin-Kwang Eng |29 34 |0_29 0_34 
Jerry Moorhead |44 |0_44 
Risheng Liu |44 |0_44 
Jianxin Wu |29 34 39 44 |0_29 1_34 0_39 1_44 
Stephen J. Roberts |39 44 |0_39 1_44 
Gerhard Brewka |19 24 34 39 44 |0_19 0_24 0_34 0_39 0_44 
Keki B. Irani |04 09 14 19 24 |0_04 0_09 0_14 0_19 0_24 
J. P. Armisen |09 |0_09 
Igor Mozetic |14 |0_14 
James S. Bennett |09 |0_09 
Xiaonan Ji |34 |0_34 
Genmao Yang |44 |0_44 
Narendra Ahuja |09 24 |0_09 0_24 
Chun-Yi Shi |34 |0_34 
Fang-Yu Rao |44 |0_44 
Wenxin Jiang |34 |0_34 
Anlei Dong |39 44 |1_39 1_44 
Jorge Cabrero Alonso |39 |0_39 
Ehud Reiter |19 24 34 |0_19 0_24 1_34 
Einar Mykletun |34 |0_34 
Jian Huang 0002 |34 39 |0_34 1_39 
Richard I. Kittredge |14 |0_14 
Richard Mander |24 |0_24 
Joatildeo Marques-Silva |34 39 44 |0_34 0_39 0_44 
Anthony M. Dearden |34 |0_34 
Renaud Lecoeuche |29 |0_29 
Joseph Salmento |44 |0_44 
Jerry R. Hobbs |09 14 19 24 39 |0_09 0_14 0_19 0_24 0_39 
Wesley Hall |44 |0_44 
Xiaoping Sun |39 |0_39 
Kevin D. Seppi |34 44 |0_34 0_44 
Umberto Bonollo |14 |0_14 
Stefan Heinrich |44 |0_44 
Shiyong Lu |29 34 44 |0_29 0_34 0_44 
Rui Guo |39 44 |0_39 0_44 
Yurong Chen |44 |0_44 
Silvio Salza |24 |0_24 
Ricardo Bezerra de Andrade e Silva |29 34 |1_29 1_34 
Ellen Riloff |24 34 39 44 |1_24 0_34 0_39 0_44 
Luciano Spinello |39 44 |0_39 0_44 
Philippe Collard |24 29 |0_24 0_29 
Zhuoliang Kang |39 |0_39 
Chun Guo 0001 |44 |0_44 
Zenon Protopapas |24 |0_24 
Xuefeng Chen |44 |0_44 
Justin Cheng |44 |0_44 
Hiroyuki Endo |14 |0_14 
Jose Renato Santos |24 |0_24 
Paul Carpenter |34 |0_34 
Ulrich Bohnacker |34 |0_34 
Milind Joshi |34 39 |0_34 0_39 
Stefan Gower |24 |0_24 
Dale Schuurmans |24 29 34 39 44 |0_24 0_29 1_34 0_39 0_44 
Wei Wang 0065 |44 |0_44 
Josep-Lluiacutes Larriba-Pey |39 44 |0_39 0_44 
Lorenzo Rosasco |39 44 |0_39 0_44 
Mick Mountz |39 |0_39 
Shari Roseman |19 |0_19 
Xiaoqin Zhang |29 39 44 |0_29 0_39 1_44 
Arianna Gallo |39 |0_39 
Suxin Guo |44 |0_44 
Yuto Yamaguchi |44 |1_44 
Chen Xing |44 |0_44 
Dennis Thom |39 |0_39 
Kang Zhang |19 34 39 |0_19 0_34 1_39 
Xixuan Feng |44 |0_44 
Fabrice Muhlenbach |34 39 |0_34 0_39 
Surendra K. Singhi |34 |0_34 
Luming Zhang |44 |1_44 
Yunfeng Liu |44 |0_44 
Ludovic Bonnefoy |44 |0_44 
Carole Palisser |19 |0_19 
Yuval Kluger |44 |0_44 
David S. Munro |29 |0_29 
Huanhuan Cao |39 44 |1_39 1_44 
Shin'ya Amano |09 |0_09 
Klaus Elhardt |09 29 34 |0_09 0_29 0_34 
Ronald J. Williams |24 |0_24 
Jan Carlson |44 |0_44 
Xavier Oriol |44 |0_44 
Serhan Dagtas |24 39 |0_24 0_39 
Alexandra M. Coddington |34 |0_34 
Dean Eckles |44 |1_44 
Tetsuya Furukawa |19 |0_19 
Ruimin Hu |44 |1_44 
Xinying Song |44 |0_44 
Martin Gasser |44 |0_44 
Diane E. Kitchin |44 |0_44 
Jia-Qi Fang |14 |0_14 
Derek Anderson |34 |0_34 
Mostafa Mahdieh |39 |0_39 
J. Madar |29 |0_29 
Shinya Honda |44 |0_44 
Rui Lopes |34 |0_34 
Ralph P. Sobek |09 14 |0_09 0_14 
Krishna Saraswat |24 |0_24 
Suhas Ranganath |44 |1_44 
I. Ralph Edwards |39 |0_39 
Laurynas Speicys |34 |0_34 
Jingli Lu |34 |0_34 
Kshitij Shah |29 |0_29 
Maria-Florina Balcan |34 44 |0_34 1_44 
Hannes Wettig |34 |0_34 
Xiaoyuan Wang |34 |0_34 
Mona Golestan Far |44 |0_44 
Angelo Oddi |29 34 39 |0_29 0_34 0_39 
Gilles Niel |34 |0_34 
Dan Rasmussen |29 |0_29 
Junyu Xuan |44 |0_44 
Jicheng Fu |39 |0_39 
Pierre Moulin |44 |0_44 
Ziqiang Shi |44 |0_44 
Liz Sonenberg |39 44 |0_39 0_44 
Lo Ka Kan |34 |0_34 
Rafi Bojmel |44 |0_44 
Rahul Bhagat |34 39 |0_34 0_39 
Roger Nasr |19 |0_19 
Sofia Ceppi |39 44 |0_39 1_44 
Douglas H. Fisher |14 19 29 34 |0_14 0_19 1_29 0_34 
Natalia Ivanova |34 |0_34 
Edmond HaoCun Wu |34 |0_34 
Gordon V. Cormack |29 34 39 44 |0_29 0_34 1_39 0_44 
William C. Bulko |19 |0_19 
Anne-Marie Kermarrec |39 44 |0_39 0_44 
Serge Abiteboul |14 19 24 29 34 39 44 |0_14 0_19 0_24 0_29 1_34 1_39 0_44 
Ashequl Qadir |44 |0_44 
Tianyu Wo |44 |0_44 
Flavio Rizzolo |34 39 |0_34 1_39 
Adrian Perrig |44 |0_44 
Rachel McCrindle |34 |0_34 
Pierre-Andreacute Savalle |44 |0_44 
T. Pattabhiraman |24 |0_24 
Jeacuterocircme Mengin |39 |0_39 
Ralf Hartmut Guumlting |34 44 |0_34 0_44 
Nikhil Rasiwasia |39 |0_39 
Yoshiaki Yasumura |34 |0_34 
Yishay Mansour |24 29 34 39 44 |0_24 0_29 0_34 1_39 0_44 
Roberto Basili |24 29 34 39 44 |0_24 0_29 1_34 0_39 1_44 
Rafael Schirru |39 |0_39 
Fano Ramparany |44 |0_44 
Silvia Chiusano |34 |0_34 
Paul J. A. Lever |24 |0_24 
Robert Mankoff |44 |0_44 
Songfeng Zheng |39 |0_39 
Keli Xiao |39 44 |0_39 0_44 
Ramadhana Bramandia |39 |1_39 
Chengjie Luo |19 |0_19 
Robert Brunel |44 |0_44 
Wei Jiang |34 39 44 |1_34 1_39 0_44 
Christine Robson |39 |0_39 
Anne Kao |44 |0_44 
Xuan Song |44 |1_44 
U. Bussolati |09 |0_09 
Diane C. P. Smith |04 09 |0_04 0_09 
Frank Hoffmann |34 |0_34 
Raymond Yiu-Keung Lau |39 |0_39 
Ilija Bogunovic |44 |0_44 
Jan Paredaens |14 19 24 34 |0_14 0_19 0_24 0_34 
Mehrdad Mahdavi |44 |1_44 
Guumlnter Ladwig |34 |0_34 
Shengchao Qin |44 |0_44 
Hiromi Tanaka |14 |0_14 
Huajun Chen |34 39 |0_34 1_39 
Sanatan Sukhija |44 |0_44 
Michael Yu Zhu |34 |0_34 
Gualtiero Volpe |44 |0_44 
Jile Zhou |44 |0_44 
Olivier Bodenreider |39 44 |0_39 0_44 
Bert van den Akker |19 |0_19 
Hu Cao |34 |0_34 
Erfan Tavakoli |44 |0_44 
Piew Datta |24 29 |0_24 1_29 
Juozas Gordevicius |39 |0_39 
Kiyoshi Akama |09 |0_09 
Ziwei Zhang |44 |0_44 
Xiaoyong Chai |34 39 |1_34 0_39 
Thibaut Lamadon |34 |0_34 
Kathleen M. Swigger |14 19 |0_14 0_19 
Adam Drake |34 39 |0_34 0_39 
Takeshi Shinohara |14 34 |0_14 0_34 
Danny Dolev |24 |0_24 
Linlin Shen |44 |1_44 
Xiao Ding |44 |0_44 
Yinglong Ma |39 |0_39 
Gustavo O. Arocena |29 |0_29 
R. P. S. O'Donoghue |34 |0_34 
Sumio Fujita |44 |0_44 
John P. Frisby |19 |0_19 
Alan Ruttenberg |39 |0_39 
Achint Thomas |39 44 |0_39 0_44 
Nan Ding |44 |0_44 
Nasim Razavi |44 |0_44 
Jason Andrew Wolfe |34 39 |0_34 0_39 
Leonard J. Trejo |34 |0_34 
Peter J. Dickinson |39 |0_39 
Rong Yang |39 44 |0_39 0_44 
Joseph Kemnitz |39 |0_39 
Eiko Kai |44 |0_44 
Sergej Sizov |34 39 44 |1_34 1_39 0_44 
Patrick Cahan |29 |0_29 
A.-Yeong Kim |44 |0_44 
Sebastian Michel |34 39 44 |1_34 1_39 0_44 
Krishnan Subramanian |14 |0_14 
T. Anthony Marsland |14 19 |0_14 0_19 
Witold Lukaszewicz |24 29 |0_24 0_29 
Richard M. Golden |44 |0_44 
Kazuo Sumita |24 29 |0_24 0_29 
Shulin Wang |39 |0_39 
Chunyang Ye |39 |0_39 
Yong Zhou |29 |0_29 
Kisuh Ahn |39 |0_39 
David R. Hanssen |19 |0_19 
Daniel A. Spielman |39 44 |0_39 0_44 
Orestis Telelis |44 |0_44 
Xiaosong Zhang |29 |0_29 
Maeve O'Brien |34 |0_34 
Qi Qi |44 |0_44 
Raffaella Guglielmann |29 |0_29 
Christopher Srinivasa |44 |0_44 
Hejin Yuan |39 |0_39 
Wenhan Jiang |39 |0_39 
Ahmed Elragal |44 |0_44 
Jidong Shao |44 |0_44 
Ahmed Awad |39 |0_39 
Stan Raatz |19 |0_19 
James Bergstra |39 |0_39 
Pavel Pecina |44 |0_44 
Chunyu Wang |44 |0_44 
Jeffrey S. Dean |14 |1_14 
Monique Ornato |09 |0_09 
Gabriel Ghinita |39 44 |1_39 0_44 
Rasa Bliujute |29 |0_29 
Ulit Jaidee |39 |0_39 
Han Jiang |44 |1_44 
Arnaud Saval |39 |0_39 
Chao Liu 0001 |34 39 |1_34 1_39 
Jean Le Bihan |09 |0_09 
Warwick Graco |34 44 |0_34 0_44 
Inci Cetindil |44 |0_44 
Francisco Azuaje |39 |0_39 
Hsiao-Wuen Hon |34 39 44 |0_34 1_39 0_44 
Habiba Drias |39 |0_39 
Ondrej Suchyacute |44 |0_44 
Eleanor Olds Batchelder |24 |0_24 
Ashraf M. Kibriya |39 |0_39 
V. Pushkin |04 |0_04 
Rishabh Mehrotra |44 |0_44 
Younes Mechqrane |44 |0_44 
Zhigang Zhu |39 |0_39 
Xi Alice Gao |39 44 |0_39 0_44 
Ykauml Huhtala |29 |0_29 
Bryant W. York |09 |0_09 
Richard Cocci |39 |0_39 
Wei Chen 0013 |39 44 |1_39 0_44 
Zhouchen Lin |39 44 |0_39 1_44 
Sachindra Joshi |34 39 44 |1_34 1_39 1_44 
Kelvin Luu |44 |0_44 
Kary Myers |29 |0_29 
Andrew Deacon |24 |0_24 
J. T. Foote |24 |0_24 
Carl William |09 |0_09 
Christoph G. Thomas |19 |0_19 
Peter P. Neilley |44 |0_44 
Maxwell W. Libbrecht |44 |0_44 
Arnab Bhadury |44 |0_44 
Gil-Chang Kim |34 |0_34 
Tomas Uhlin |24 |0_24 
Yannis Alexandrakis |39 |0_39 
Qingxu Deng |44 |0_44 
Louise Traveacute-Massuyegraves |19 24 29 |0_19 0_24 0_29 
Chia-Hua Ho |39 44 |0_39 0_44 
Sewoong Oh |44 |0_44 
Petko Bogdanov |39 44 |0_39 1_44 
Mariam Tariq |34 |0_34 
N. Amosov |04 |0_04 
Dirk Walther 0002 |39 |0_39 
Yingze Wang |44 |0_44 
Yao Zhou |44 |0_44 
Giovanni Toffetti Carughi |34 |0_34 
Apurv Hirsh Shekhar |44 |0_44 
Korinna Grabski |34 |0_34 
Na Fu |44 |0_44 
Younegraves Bennani |39 |0_39 
Partha Sarathi Dutta |39 44 |0_39 0_44 
Danielle Mersch |44 |0_44 
Hector Hernandez |34 |0_34 
Li-Yan Yuan |14 19 34 |0_14 1_19 0_34 
John M. Abowd |39 |0_39 
Jun Li 0016 |39 |0_39 
Ryan Riegel |39 |0_39 
Swarup Acharya |24 29 |0_24 0_29 
Shuzo Yajima |09 |1_09 
David Ash |24 |0_24 
Tatsuo Nakajima |44 |0_44 
Gita Reese Sukthankar |44 |0_44 
Purvesh Shah |34 |0_34 
Nir Friedman |24 29 34 39 |0_24 0_29 0_34 0_39 
John G. Harris |14 |0_14 
Johan A. Pouwelse |34 39 |0_34 0_39 
Claudia d'Amato |44 |0_44 
James R. Driscoll |04 14 19 |0_04 0_14 0_19 
Te Ke |39 |0_39 
Andrea Reale |44 |0_44 
J. Efrim Boritz |34 |0_34 
Craig Versek |44 |0_44 
Yan Zhu 0001 |39 |0_39 
Aidan Hogan |39 44 |0_39 0_44 
Michael J. McQuaid |29 |0_29 
Jeremy D. Glasner |29 |0_29 
Srinivas Vadrevu |39 |1_39 
Paolo Marinelli |34 |0_34 
Brian Caffo |44 |0_44 
Min Sub Kim |34 |0_34 
Alexander Maedche |29 34 |1_29 1_34 
Sasha Pachev |44 |0_44 
Robert E. Kraut |34 |0_34 
Zheng Qin |44 |1_44 
D. Schweiger |34 |0_34 
Roberto Santoro 0002 |44 |0_44 
Ivo Marinchev |29 |0_29 
Stefano Forti |29 |0_29 
Francis Maes |39 44 |0_39 0_44 
Marie-Catherine Daniel-Vatonne |24 |0_24 
Maria Gaumlde |44 |0_44 
Eduardo F. Morales |29 34 39 |0_29 0_34 0_39 
Steve Rozen |19 24 |0_19 0_24 
Deb Campbell |29 |0_29 
Chuan-Sheng Foo |39 |0_39 
L. Paul Chew |34 |0_34 
H. C. Du |14 |0_14 
Prasanna Padmanabhan |34 |0_34 
Maurizio Lenzerini |19 24 29 34 39 44 |1_19 1_24 1_29 1_34 1_39 1_44 
Tsen-Yung Wang |39 |0_39 
Lingzi Hong |44 |0_44 
George Brova |44 |0_44 
Sunandan Chakraborty |44 |1_44 
Martin Zachariasen |44 |0_44 
Julien Mairal |39 44 |0_39 0_44 
Yang Liu |39 44 |0_39 1_44 
G. Ward |19 |0_19 
Melvyn Sim |44 |0_44 
Mahmut Uludag |29 |0_29 
Frank Koumlhler |44 |0_44 
David Johnson |34 |0_34 
Francesca Rossi |29 34 39 44 |0_29 0_34 0_39 0_44 
Salil P. Vadhan |44 |1_44 
Sherman Lau |39 |0_39 
Zhigang Ma |39 44 |0_39 0_44 
Milena Ivanova |34 39 |0_34 0_39 
Deepak Ravichandran |34 39 |0_34 0_39 
Belynda Spitzer |14 |0_14 
Andrzej Paslawski |29 |0_29 
Kevin Leo |44 |0_44 
Joshua Shaffer |34 |0_34 
Aman Naimat |34 |0_34 
Anton van den Hengel |44 |1_44 
Shanyang Yin |44 |0_44 
Luca Rossi 0004 |44 |0_44 
Helen Pinto |29 |0_29 
